file_name,transcript,label
eng20,"So, I have just got her in trouble for being that kid who's always too excited about doing these things, and most of my notebooks would have my rough work transitioning into scribbles and doodles. All in all, it was a mess. Like, you could tell I was a really distracted child. I mean, I still am. But I think that is what has helped me get here. So, in my life, I've had a fair number of incidents that have shaped me and helped me become the person I am today. It has been a series of fortunate and a few unfortunate events, which I will be talking about today. So I hope you can connect the dots as you listen to my life story. Now, let's look at it this way. Your brain is a factory with constant emissions. For the lack of a better word called brain farts. And your brain cells are actually the labor that you employ.",storytelling
eng21,"Just like any other machine or any other factory, we come with default factory settings. Just like say MS Word, and you use these default factory settings for if you want to write something as boring as a business letter. Similarly, our brain comes with wired if and then settings. If hungry, then eat. If tired, then sleep. And if lonely, then I don't know, install Tinder or something. So these if and then mechanisms actually help us create and layer these processes one by one to release these emissions. And along this way, while we connect the dots, while our brain cells are employed in actually generating these creative ideas, Your brain factory can often go out of order. Now, during my journey, I've had a few roadblocks, which I will be talking about, and I will also be talking about my art, which has given me the courage to speak about this at the stage today. Now, our human brain is what separates us from the species that exist on planet Earth. We are the only species who come with a set of three superpowers. We as humans can believe, we can imagine, and we can wonder. The fact that something that I'll talk about can only exist in our brains and nowhere tangibly in this room is in fact pretty amazing. The fact when I tell you about a half horse and a half human and The fact that you know exactly what I'm talking about, all of us have the exact same picture in our heads is pretty amazing. And these superpowers actually help us bring these creative ideas to life, actually help us bring our stories to life.",educational
eng22,"Now, during your course of time while you are in the universe, there are a few incidents which define a certain before and a certain after. And while you're on the threshold of this before and after, is when life is actually happening. And people don't tell you how difficult seventh grade can get at times. Seventh grade is actually really difficult. You're dealing with a completely new curriculum. Uh, you're dealing with a period for the first time. You're dealing with confessing to a crush for the first time. But the most difficult of them all, dealing with the death of a parent. Now, most of us will have to face the death of a parent, but only a few are actually prepared for it.",educational
eng23,"And back in 2011, no one is talking about mental health issues. And before you're supposed to be made aware of how you're supposed to deal with it, how you're supposed to cope with it, what exactly has happened and what this change exactly means in your life. You're actually supposed to be strong. You're supposed to be super strong and set an example for the people around you and for your family. So during that course of displaying my strength and putting it out as an exhibit, my brain factory went out of order. And my brain cells went on a strike and they asked me, listen Ankita, figure what's going on and then we'll get back to you. I'm like, okay, you know what? I'm gonna take my time.",storytelling
eng26,"See, that's a very convoluted, complex question. I think that the equity on physical beauty when it comes to women are defined predominantly by the male gaze. And that makes it confusing, you know, that oh my gosh, your waist is not the right size or your height's not the right size or Um, you you look a certain way that makes you beautiful or that doesn't make you beautiful. So that being judged by the male gaze and the beauty standards that have been created by um patriarchal norms um because women have for a very long time lived as secondary citizens, that's hard. But when it came to me, my pageant, it gave me a springboard that I probably wouldn't have had. So individualistically for me, Um, now as I look back in retrospect, I don't think I would ever be a part of a pageant now, this 40-year-old me. But at that time, it was very, very empowering for a small town girl in a massive stage with 96 contestants being viewed around the world. You know, it just felt like, wow, my life has suddenly changed. The cameras were like that and now it's all on me. You know, so that was a very empowering feeling. Um, but more than that, it was a springboard to the entertainment business, which I don't think I would have ever had or chosen.",opinion
eng27,"I was called black cat, dusky, what does even dusky mean? Um, in a country of all dusky people. I mean, we're literally brown in India, but we still you have so much equity on light skin. And of course that comes from our colonial past, it comes from, you know, it's not even been a 100 years that we've shared the British Raj. It's so we we still hold on to I think what we were made to feel subliminally, and it is up to us and our generation to be able to cut those ties and change it for the next generation so that they don't inherit the equity on light skin, they don't inherit the gender equality that we probably thought was normal. I thought it was completely normal and absolutely okay to sit for hours and hours on set while my male co-actor just took his own time, decided whenever he wanted to show up on set is when we would shoot. It was normal, you know, when for actors to male and women to say, oh wow, I have glowy white skin now. There was nothing wrong around it. When I was 21, 22, I did think that I was dark skinned. I did think that I was not pretty enough. I did think that I would have to work a lot harder even though I thought I was probably a little bit more talented than my co-actors who were lighter skinned. I thought that was right. I thought that because it was so normalized. So, I think as I grew up, I saw things in my career that I didn't even know were right or wrong.",opinion
eng28,"Well, I think that racism is prevalent wherever we go. And I think that when I was younger, I didn't have the mental equipment to be able to deal with how that made me feel. I felt smaller, I felt invisible, I felt like I didn't deserve. to be treated the same way as everyone else because I thought that that's what my reality was. When I was in school, this is like 14, 15, you know, you're an adolescent, um, in America and I felt like, oh my gosh, maybe being different does make me less than. But as I grew up, I saw that I'm actually some I'm I'm a lucky one. That, you know, yeah, sure, I faced racism, people called me names, um, or, you know, said mean things to me, but people around the world get killed for it. for the color of their skin. And I count myself as the lucky one, part of the lucky few that are able to stand up for themselves.",opinion
eng29,"You know, conversations are links, okay? Let's imagine every conversation to be a tiny metal link, and every time you talk to a stranger, a metal link is formed. And every conversation that you have after that moment, the link gets stronger and stronger. And every day, each one of us meets so many strangers, the grocery guy, the cab guy, maybe the receptionist at a new office you went to. And with every In conversation, we build new links until finally at the end we've created a kind of massive worldwide web of conversation. World Wide Web. It's a catchy word. I think I've heard that somewhere. That's it, right? A conversation, it's a fascinating thing. A conversation is an adventure. Conversation gives you a whole new perspective. A conversation opens a door. Conversations can make war and conversations can make peace. And conversations define who we are as a human race.",conversational
eng30,"Strangers, they are everywhere. And we've always been told, don't talk to strangers. But I beg to differ. Every stranger comes with an opportunity, an opportunity to learn something new, an opportunity to have an experience you've never had or hear a story that you've never heard before. You've had that moment, right? You're in the room with someone you don't know and you look across the room, you see a stranger and you think, I want to talk to this person. And you can almost hear the first word but it just won't come out. It kind of gets stuck about here. It goes up and down and you don't know, you know what? Here's my advice. Just say it. What's the worst that can happen? They won't talk to you, well they're not talking to you now. The first word floodgates. I truly believe that the first word acts as a floodgate, you know, once you set the first word, everything else just flows. So keep it simple, a hi, a hey, a hello.",educational
eng31,"Right? So here's my advice. Skip the small talk and ask a really personal question. And don't be afraid, trust me. You will be surprised how much people are willing to share if you just ask. So ask any kind of personal question, maybe, um, interesting name. How did your parents think of it? Is there a story behind it? Or how long have you lived in this city and do you remember the first day you landed here? You see, answers to those questions are always something unique.",educational
eng3,"In fact, let me share with you some fascinating insight. Ever since our independence in 1947, we produced zero Nobel laureates in science. The US has 100 plus. 26 Olympic medals, that's it. Just 26 Olympic medals and China produced 100 in the 2008 games alone. However, However, there is something we produce more than the US and China combined. Anyone's guess, right? Number of engineers. Now, who am I and why and how do I know so much? Look, he's laughing. He's he's an engineer himself. So, who am I and why and how do I know so much about this story? So, so I spent my initial years of growing in Saudi Arabia, right? And then my parents packed me back to Bombay in lieu of better education. And in school, I made two big mistakes. Do you want to know what those mistakes are? Yeah? Okay, so the first mistake of my life was that I was good at studies.",motivational
eng4,"Now, what happened next is I quit my job because I was curious, like how did such a diverse country like ours get so obsessed with one thing, producing engineers, and look like nobody before me tried answering. So I quit my job, and then something magical happened. Some 300 people across the globe contributed 14000 Australian dollars in a record setting crowdfunding campaign to help me, the goofball, compile a book. Okay? So over the next 2 years, I found out about a lot of interesting people, places, and events that helped shaped what I call one of India's greatest obsessions. Now, it's going to be difficult for me to take you through like 2 years of research in a couple of minutes, right? So what I'm going to do is going to take you through some of these",storytelling
eng5,"Now, now that I mentioned America, let's discuss the Indian engineers' tremendous success story in the US tech industry. So beat this, right? Two of the biggest tech giants in the world are today run by Indian engineers. And you know, they actually owe their life to a very specific moment in history. That moment is actually as specific as this, 4th of October 1957, 7:28 p.m. Okay, so what happened on 4th of October, 1957, 7:28 p.m. is, the Soviets launched the first human satellite in space, the Sputnik, and the US lost its mind. You know, the US and Russia always have had this Indian student type, have been like two Indian students, right? Always want to do better than each other. So, so the Americans lost their mind and they said, dude, we need to do something, man. So they changed their entire immigration policy.",motivational
eng6,"Here's the first question. Did the Mahabharat actually happen? The events in the Mahabharat, which is not just the Kurukshetra war, that's just 8800 shlokas out of the 1 lakh shlokas in the Mahabharat. But did all the events describe that? Did it happen? It's a very common question. The fantastic weapons we hear about in the Mahabharat, did they actually exist? And if they did, how did these people over 5000 years ago have that kind of science and technology? And then the question that led me on my journey as a fiction writer, are there scientific explanations for some of the things that we read about in the Mahabharat? This is a big one which I'm actually currently researching. Were there giants in the time of the Mahabharat? We hear about the devs and the asurs and the rakshasas. These enormous beings of gigantic stature, were they real?",educational
eng7,"But I'm gonna start by taking you on a tour of the world. We're gonna talk about some unexplained mysteries from across the world and then come back to the Mahabharat. And I'm gonna start with Egypt. The Great Pyramid is one of the most famous monuments in the world. It is 457 feet high as it stands today, the equivalent size of a 45-story building. We are told by history books that it was built in about 2550 BC by a pharaoh called Khufu as a tomb for himself. Now, when the Great Pyramid was built, it was locked, and this is its original entrance which was only discovered maybe about 50 or 60 years ago. It was concealed, hidden away by the wall of rock which you can see is scattered around the entrance today. So no one could enter the pyramid after it was built. It was closed and sealed. In 800 AD, the governor of Cairo, A gentleman called Muhammad Al-Mamun, he decided he wanted to go inside. Why? Because he believed if a Pharaoh was great enough to build a 45-story tomb for himself, he must have a lot of treasure inside. So Al-Mamun and his men tunneled into the Great Pyramid using what is today called the robber's entrance.",storytelling
eng8,"Let me take you to Wales. This is a fascinating place. When I saw it again, it blew my mind because there are magical things that happen here, and I'll tell you just one of them. This is supposed to be a burial chamber at a place called Brin Cethlithi, and the entrance of this chamber faces northeast. So every year between December and April, the sun rises in the northeast. If you remember your geography, it rises in the northeast in winter in the northern hemisphere. It shines through this entrance and illuminates. a stone pillar which is inside the chamber. Now, you'd say no big deal, right? The interesting thing is that the stone chamber is where the blue line is. It is not in line with the entrance. So obviously, Light from the sun is reflecting off the walls of the chamber and illuminating the pillar, and you can see it's reflective. It's quartz lined rock.",educational
eng9,"What is that it? What is that element that gives music its identity? As an 8-year-old, my logic was pretty simple. If the song is in English, then it's Western. If the song is in Hindi, then it's Hindustani. If it's in Tamil Telugu, then it's Carnatic. If it's Marathi, then it's Sugam Sangeet, and if it's in Bengali, then Rabindra Sangeet. As simple as that, I thought. But is it really that simple? Let's verify this claim a little. And what I'm going to do now is I'm going to make you all listen and I'm going to sing. So I'll be singing for you all a piece in English and according to the logic that we discussed, it should sound western to your ears.",educational
hin1,"तलाबों की खास बात, सुंदर बात क्या है कि आप इंडिया के किसी भी स्टेट में जाओ, आपको अलग नाम इनका सुनाई देगा। हरियाणा में जोहड़ है, पोखर है, कहीं पे ताल है, कहीं तलैया है, कहीं पंजाब में छप्पड़ है। आप उड़ीसा जाइए, अलग मिलेगा, बंगाल जाइए, कर्नाटका जाइए, केरला जाइए।",educational
hin10,"पापा सब कुछ रेडी है ना? नहीं नहीं, वो तो सारे पिच फाइनल मतलब जो भी हम प्लान कर रहे थे, पिच वगैरह सब कुछ फाइनल हो चुका है। यह पहली बार है हम किसी इन्वेस्टर पिच पे जा रहे हैं। आप सभी लोगों को रेडी रहना है, अच्छे से मतलब अपने आईडिया को बताना है। दिस इज आवर फर्स्ट टाइम जिसमें कोई भी मेस अप नहीं करना है। वे आर द शाफ्ट इन इंडिया फाइनल्स, इस बात को एकदम अपने अंदर रख के बी कॉन्फिडेंट इनफ जिससे आप अपने ब्रांड को अच्छे से प्रेजेंट कर सकते हैं, सब कुछ रेडी है, सारे पिच फाइल पिच फाइल्स रेडी हैं, डेमोस रेडी हैं, सब कुछ रेडी है ना।",motivational
hin11,"पापा आप क्या मज़ाक कर रहे हैं? शिट, यह तो बहुत बड़ी गलती है। उसमें तो सारे लैपटॉप्स, डेमोस, फाइल्स, जो भी फिजिकल प्रेजेंटेशन्स थे, सब कुछ तो उसी में था ना। अब हम कैसे प्रेजेंट करेंगे? माय फादर रिप्लाईड एट दैट पॉइंट ऑफ टाइम, आई वाज़ ऑन अर्ज टू क्राई क्योंकि बहुत मेहनत लगी थी, 20-20 घंटे हम काम कर रहे थे फॉर दैट आइडिया। ब्लॉकचेन रिलेटेड कंपनी थी वो मंत्रा फाई, बहुत ज़्यादा उसमें हमारा मतलब स्किन इन द गेम था, बहुत ज़्यादा फोकस्ड थे। मेरे हाथ में वो बैग जो नहीं था जिसमें हमारे को-फाउंडर्स की मेहनत थी, मेरी मेहनत थी और सभी लोगों का ड्रीम था, विज़न था। मेरे पापा ने एक चीज़ उस वक्त मुझे सिखाई। अब मैं आपको बताता हूँ कि कैसे मेंटालिटी जनरेशन्स... मैं अपनी अपनी होती है, मैं यहां अल्फा को रिप्रेजेंट कर रहा हूं, जिन अल्फा को और मैं आपको बता रहा हूं मेरे पापा जो मिलेनियर हैं उनकी क्या माइंडसेट थी उस पॉइंट ऑफ टाइम पर। मैं डरा हुआ हूं, उन्होंने मुझसे कहा कि सूर्यांश आई कांट सी द बैग इन योर हैंड। बोले आप बार बार रिपीट तो कर रहे हैं इस 1 चीज को कि बैग नहीं है, अब हम क्या करें? आधे घंटे में पिच है।",storytelling
hin12,"अब आप एक इमेजिन करो इस बच्चे की जिंदगी कैसे होती होगी, एक नॉर्मल घर है बिहार में, उज्जफरपुर में हमारा घर है, 4 लोग हमारी फैमिली में हैं, उसमें से मैं आपको सबके बारे में बताता हूं, अब चलो पापा पर आते हैं, पापा कौन है? तो एक एस्टैब्लिश्ड सोशल वर्कर है जो 20 25 सालों से समाज सेवा कर रहा है एंड ही इज अ रिप्रेजेंटेटिव टू द यूनाइटेड नेशंस वहां पे वो रिप्रेजेंट करते हैं अमेरिका में। पापा की बात हो गई, मां क्या कर रही है? वो भी एस्टैब्लिश सोशल वर्कर है, बहुत ज्यादा पैशनेट है, बहुत ज्यादा ड्रिवेन है समाज में कुछ बदलाव लाने के लिए। बहन की बात करते हैं तो ऑथर लीडर। क्रिएटर, चेंज मेकर, इन्फ्लुएंसर क्या नहीं, एक्टर सब कुछ है मैन मैन। मैं अकेला घर में बैठा हुआ हूं और वहां के सोच रहा हूं कि सूर्या सब कुछ ना कुछ कर रहे हैं, तू क्या कर रहा है? अब यह तीनों और इन 2023 दीज़ गाइज़ मेट द प्रेसिडेंट ऑफ इंडिया। वहां पर जाके इन्होंने अपने आइडियाज को प्रेजेंट किया और उनसे ये तीनों मिलकर आए। मेरी स्थिति आप समझिए कि मैं कुछ नहीं कर रहा हूं और घर पे मीडिया और इंटरव्यू। की लाइन लगी हुई है, इनसे लोग पूछे जा रहे हैं, व्हाट्स योर विज़न? तुम क्या पढ़ना चाहते हो? कैसे तुम प्रेजेंट करोगे? तुम्हारा विज़न क्यों है? तुमने स्टार्ट क्यों किया? और वो 12 साल का सूर्यांश बैठ कर सोच रहा था कि ये हो क्या रहा है? मुझसे क्यों क्यों नहीं पूछ रहा? मैं भी तो सेम फैमिली का हूं। मुझसे पूछा जाता था आपको कैसा लग रहा है कि आप इस फैमिली के मतलब आप टाइम फ्रेंड करते हो आप बच्चे हो इनका आपको कैसा लगता है? वो नेपोटिज्म वाला बात वहां पर आ गया और जो मुझे बिल्कुल पसंद नहीं आ रहा था।",storytelling
hin13,"तो आज का दिन मेरे लिए भी बहुत खुशी का है कि कल रात को 8:00 बजे मैंने जो फाइल है उसके ऊपर साइन किया कि 100% इथेनॉल। इसके नियम बनकर उसको आज कानूनी रूप से प्रक्रिया देने वाली फाइल पर मैंने साइन की है और मुझे बताते खुशी हो रही है कि मारुति सुजुकी ने वैगनआर करके जो सबसे बेचने वाली उनकी गाड़ी है वो 100% इथेनॉल पर मुझे और पुरी साहब को लॉन्च करने का मौका मिला। जो मोटरसाइकिल है हीरो कंपनी, पांच में से तीन मोटरसाइकिल उनकी है। उनकी दो मोटरसाइकिल 100% इथेनॉल पर फ्लेक्स लॉन्च हुई है। इसके बाद टोयोटो, सुजुकी, बाद में एमजी हेक्टर फिर हुंडई सब कंपनियां आने वाले डेढ़ दो महीने में हंड्रेड परसेंट इथेनॉल पर गाड़ियां लॉन्च करेंगे तो पेट्रोल का अल्टरनेटिव इथेनॉल होगा।",motivational
hin14,"नमस्कार, मेरा नाम है शीनू रॉय, मैं 27 साल की हूँ और बैंगलोर की रहने वाली हूँ। मेरा कद है 5 फीट और 1 इंच। मुझे इंग्लिश, हिंदी और मलयालम भाषा में बात करना आता है। फ्री टाइम में मुझे डांस करना, घूमना और गाने सुनना बहुत पसंद है। अगर मेरी एक्टिंग और मॉडलिंग में रुचि की बात की जाए, तो मुझे लगता है कि एक इंसान में कुछ खूबियां होनी चाहिए, जिसमें कि है सबसे पहला खूब सारा आत्मविश्वास और अपने अभिव्यक्ति को, अपनी पर्सनालिटी को कैमरे के सामने खुलकर दर्शाना, जो कि मुझे लगता है कि यह गुण मुझमें भी है।",conversational
hin15,"नमस्कार, मेरा नाम पूजा है। मेरी उम्र 28 साल और कद 5 फीट 5 इंच है। मैं मूली रूप से जयपुर की निवासी हूं, लेकिन वर्तमान में मैं बैंगलोर में रहती हूं। मुझे हिंदी और अंग्रेजी भाषाओं में बोलना आता है। मेरी रुचि हमेशा से ही अभिनय, नृत्य, मॉडलिंग व मन संचालन में रही है। परंतु अपने निजी जीवन में मैं नई जगहों पर जाना, नए लोगों से मिलना, नई संस्कृतियों का अनुभव करना पसंद करती हूं। मुझे पूरा विश्वास है मेरा जुनून, मेरी मेहनत, लगन आगे जाके मुझे एक सर्वश्रेष्ठ अभिनेत्री व मॉडल बनने में ज़रूर सहयोग देगा।",conversational
hin16,"देखो, मैं आपसे एक सीधी बात करना चाहता हूं। आंखों में आंखें डाल के कोई इधर-उधर की बात नहीं करूंगा। सुनील शेट्टी मेहूना में, जॉन अब्राहम पठान में, एंड अब लॉर्ड बॉबी देओल अल्फा में। आपको इन सब में कुछ कॉमन नहीं दिखता? सेम टेम्पलेट, सेम ब्रूडिंग विलेन, सेम मेनिसिंग एंट्री। बस चेहरा बदल गया है, कहानी तो वही है। और मैं यहां पर बैठ के सोच रहा हूं कि अरे भैया, इस बार तो कुछ नया ढंग का देखने के लिए मिलने वाला है क्योंकि धुरंधर ने इतना प्रेशर क्रिएट कर दिया है। लेकिन यहां पर तो ऐसा लगता है कि ये लोग इस फॉर्मूले से आगे बढ़ना ही नहीं चाहते। दोस्तों आज हम लोग अल्फा के ट्रेलर की पूरी काट पीट करके देखने वाले हैं और मैं आपको यह बताऊंगा कि आखिर इस ट्रेलर में हमारे लिए है क्या। देखिए साहब। स्वागत है आप सभी का सबसे पहले तो हमारे चैनल पर एंड अगर आप पहली बार आए हैं तो मैं वह बंदा हूं जो ट्रेलर देख के वाओ वाओ नहीं करता बल्कि मैं वह देखता हूं जो स्टूडियो आपको दिखाना नहीं पसंद करते।",review
hin17,"यह मेनिसिंग विलेन वाला टेम्पलेट क्या है? आई मीन, यशराज फिल्म्स एंड बॉलीवुड को एक आदत सी पड़ गई है। एक पावरफुल एक्टर को लो, आजकल विलेन वाला रोल खत्म हो चुका है, आजकल एक एक्टर को ही ये लोग विलेन बना देते हैं। एंड उसको लंबे बाल दे दो या फिर धीमा सा डायलॉग दिलवा दो या फिर स्लो मोशन में चलवा दो एंड बोल दो, देखो वो कितना खतरनाक विलेन है। सुनील शेट्टी ने ये किया, जॉन अब्राहम ने ये किया एंड अब बॉबी देओल भी यही काम करते दिख रहे हैं। अब मैं यहां पर ये नहीं कह रहा हूं कि बॉबी देओल खराब है, बल्कि मुझे इस पूरे ट्रेलर में सिर्फ बॉबी देओल ही अच्छे लगे हैं। लेकिन सच कहूं, तो इस पूरे ट्रेलर में अगर कोई चीज सच में डरा रही थी, तो वही थी, है ना? मतलब बॉबी देओल की प्रेजेंस कहीं ना कहीं इस ट्रेलर से बाहर की लग रही थी मुझे। सोल सेविंग ग्रेस आप उसको कह सकते हैं, अपार्ट फ्रॉम दैट लास्ट कैमियो जो कि हमें ट्रेलर के आखिरी में दिखाई दिया। बट सवाल ये है कि जब आपका विलन ही रीसायकल टेम्पलेट पे खड़ा हो तो नया फार्मूला लेड यूनिवर्स कहां से हुआ? पैकेजिंग नहीं है, अंदर वही पुराना माल है।",opinion
hin18,"मेरे भाई साहब मुझसे 5 साल बड़े हैं, लेकिन केवल 3 दर्जे आगे। उन्होंने भी इसी उम्र में पढ़ना शुरू किया था जब मैंने शुरू किया, लेकिन तालीम जैसे महत्व के मामले में जल्दबाजी से काम लेना पसंद ना करते थे। इस भवन की बुनियाद खूब मजबूत डालना चाहते थे जिस पर आलीशान महल बन सके। एक साल का काम दो साल में करते थे। कभी-कभी तीन साल भी लग जाते थे। बुनियादी पुख्ता ना हो तो मकान कैसे पायदार बने? मैं छोटा था, वह बड़े थे। मेरी उम्र 9 साल की थी और वह 14 साल के थे। उन्हें मेरी तंबीह और निगरानी का पूरा और जन्मसिद्ध अधिकार था और मेरी शालीनता इसी में थी कि उनके हुक्म को कानून समझो। वह स्वभाव से बड़े अध्ययनशील थे। हरदम किताब खोले बैठे रहते और शायद दिमाग को आराम देने के लिए कभी कॉपी पर, किताब के हाशियों पर चिड़ियों, कुत्तों, बिल्लियों की तस्वीरें बनाया करते थे। कभी कभी एक ही नाम या शब्द या वाक्य 10-20 बार लिख डालते हैं।",educational
hin19,"मुझे तो दो ही तीन साल लगते हैं। तुम उम्र भर इसी दर्जे पर पड़े सड़ते रहोगे? अगर तुम्हें इस तरह उम्र गवानी है, तो बेहतर है घर चले जाओ। और मजे से गुल्ली डंडा खेलो। दादा की गाड़ी कमाई के रुपए क्यों बर्बाद करते हो? मैं यह लताड़ सुनकर आंसू बहाने लगता। जवाब ही क्या था? अपराध तो मैंने किया, लताड़ कौन सहे? भाई साहब उपदेश की कला में निपुण थे। ऐसी ऐसी लगती बातें कहते, ऐसे ऐसे सूखती बाण चलाते कि मेरे जिगर के टुकड़े टुकड़े हो जाते और हिम्मत टूट जाती। इस तरह जान तोड़कर मेहनत करने की शक्ति मैं अपने में ना पाता था। और उस निराशा में ज़रा देर के लिए मैं सोचने लगता क्यों ना घर चला जाऊँ, जो काम मेरे बूते से बाहर है उसमें हाथ डालकर क्यों अपनी ज़िंदगी ख़राब करूँ।",storytelling
hin2,"मुझे खुद याद है, मैं जब फिफ्थ, सिक्स्थ, सेवंथ क्लास में था तो भैंसों को तालाब में नहलाने जाता था। खुद तैरना नहीं आता था तो भैंस की पूंछ पकड़ के तालाब में कूद जाता था। क्योंकि कॉन्फिडेंस था क्योंकि भैंस कभी हमने डूबती हुई नहीं देखी तालाब में। वो कैसे भी करके कितना भी गहरा तालाब हो निकल ही आती थी। तो उसी कॉन्फिडेंस को देखते हुए हम भी तालाब में तैरना सीखे। लेकिन अगर आज की डेट में आप तालाबों को देखेंगे तो तालाबों में भैंस नहाती नहीं है, जबकि उनमें दलदल में फंस",storytelling
